Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V1/CAD/Eagle/HFT-Core-Module_1V1.sch am 20.10.18 21:47

Qty Value                                             Device                                Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Description                                                 
2   43nH                                              R-US_R0603                            R0603                              L1714, L1715                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESISTOR, American symbol                                   
94  47R                                               R-EU_R0603                            R0603                              R0738, R0739, R0742, R0813, R0814, R0823, R0824, R0831, R0832, R0835, R0836, R0843, R0844, R0951, R0952, R0953, R0961, R1011, R1021, R1022, R1023, R1024, R1132, R1502, R1503, R1531, R1591, R1592, R1593, R1631, R1721, R1741, R1751, R1761, R1791, R2211, R2311, R2411, R2501, R2901, R2902, R2903, R2904, R2905, R2906, R2907, R2908, R2909, R2910, R2911, R2914, R2915, R2916, R2917, R2918, R2919, R2920, R2921, R2922, R2923, R2933, R2934, R2935, R2936, R2937, R2938, R2939, R2940, R2941, R2942, R2943, R2946, R2947, R2948, R2949, R2950, R2951, R2966, R2967, R2968, R2969, R2970, R2971, R2972, R2973, R2974, R2975, R2976, R2979, R2980, R2981, R2982, R2983, R2984 RESISTOR, European symbol                                   
2   560R                                              R-EU_R0603                            R0603                              R1031, R1041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESISTOR, European symbol                                   
1   68R                                               R-EU_R0603                            R0603                              R1801                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, European symbol                                   
1   68R                                               R-EU_R0805                            R0805                              R2201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            RESISTOR, European symbol                                   
1   8.2pF                                             C-EUC0603                             C0603                              C0332                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAPACITOR, European symbol                                  
1   ABM03B-32.000MHZ                                  ABM03B-32.000MHZ                      ABM03B                             Q1511                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ABRACON ABM03B                                              
1   ABM3B-16MHZ-10-R50-1-U                            ABM03B-16.000MHZ                      ABM03B                             Q1711                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ABRACON ABM03B                                              
1   ABS07-32.768KHZ                                   ABS07-32.768KHZ                       ABS07                              Q0321                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ABRACON ABS07                                               
1   AX5243                                            AX5243                                QFN20-4X4-0P5-PAD                  U1701                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            AX5243                                                      
1   CAT24C64                                          CAT24C64                              SOIC8_150MIL                       U0601                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CAT24C64                                                    
1   CFPT-141-20MHZ                                    CFPT-141-20MHZ                        CFPT-141                           U0731                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            VCTCXO, 3.0V                                                
1   CRS08                                             CRS08                                 SOD80C                             D2201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            SCHOTTKY BARRIER RECTIFIER                                  
2   CUI SJ1-3535NS                                    SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS    SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS X2801, X2811                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     SJ1-353XNS_3MM5-STEREO-AUDIO-JACKS                          
7   D.C.                                              R-EU_R0603                            R0603                              R0931, R0941, R0942, R0943, R0944, R0945, R0946                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  RESISTOR, European symbol                                   
2   IS25LP032D                                        IS25LP032D                            SOIC8_150MIL                       U0511, U0521                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ISSI IS25LP032D                                             
1   JR200                                             C-TRIMM3MM2_2MM5                      3MM2_X_2MM5                        C0331                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Trimm capacitor                                             
1   KSR223GLFG                                        KSR223G_SMD_1POL                      KSR223G_SMD_1POL                   S0212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            KSR223G                                                     
1   LM4120IM5-3.0                                     LM4120IM5-3.0                         SOT95P285X120-5N                   U0701                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Precision Micropower Low Dropout Voltage Reference          
1   MAX5217                                           MAX5217                               µMAX8                              U0711                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Maxim Integrated MAX5217 DAC                                
1   MIDAS_MCCOG21605B6W-FPTLWI                        MIDAS_MCCOG21605B6W-FPTLWI            MIDAS_MCCOG21605B6W-FPTLWI         U1101                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            MIDAS MCCOG21605B6W-FPTLWI                                  
4   MMBT2222                                          BC846                                 SOT23                              T1151, T1211, T1221, T1231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       NPN TRANSISTOR                                              
1   MOLEX 105017-0001                                 USB_MICRO-B_MOLEX                     USB-B-MICRO-SMD_MOLEX-105017-0001  X2601                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            USB Type Micro-B Connector                                  
