Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V0/CAD/Eagle/HFT-Core-Module_1V0.sch am 10.08.18 23:08

Qty Value                                             Device                             Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Description                                                 
1   MPU-9250                                          MPU-9250                           QFN24-3X3                          U1301                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      MPU-9250 9 Degree of Freedom IMU                            
1   MS5607-02BA03                                     MS5607-02BA03                      MS5607-02BA                        U1311                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      MS5607-02BA03 Pressure Sensor                               
4   NC                                                R-EU_R0603                         R0603                              R0804, R0805, R0806, R0807                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 RESISTOR, European symbol                                   
1   NHD-C0220BIZ_2X20CHARS                            NHD-C0220BIZ_2X20CHARS             NHD-C0220BIZ_2X20CHARS             U1201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      NHD-C0220BIZ                                                
4   OPA354                                            OPA354                             SOT-23-5                           U0641, U1121, U1131, U1141                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 CMOS OPERATIONAL AMPLIFIERS                                 
1   PAM2305AAB120                                     PAM2305                            SOT95P280X145-5N                   U0431                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      PAM2305                                                     
3   PE4259                                            PE4259                             SC-70_6-LEAD_2X1MM25_0P65          U0911, U0921, U0991                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        pSemi  PE4259                                               
10  PTR1B1,27                                         PTR1B1,27                          B1,27                              TP_+1V2, TP_+1V2_MCU, TP_+3V3, TP_+3V3_20MHZ, TP_+3V3_HICUR, TP_+5V0, TP_+5V0_SOL, TP_+5V0_USB_SW, TP_VBAT, TP_VSOL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        TEST PIN                                                    
11  PTR1TP06R                                         PTR1TP06R                          TP06R                              TP_AX_ADC1, TP_AX_ADC2, TP_AX_IRQ, TP_AX_TCXO_EN, TP_SX_DIO0, TP_SX_DIO1, TP_SX_DIO2, TP_SX_DIO3, TP_SX_DIO4, TP_SX_DIO5, TP_SX_RXTX                                                                                                                                                                                                                                                                                                                                                                                                                                                                       TEST PIN                                                    
1   SC189ZSKTRT                                       PAM2305                            SOT95P280X145-5N                   U1601                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      PAM2305                                                     
1   SHT31-DIS                                         SHT31-DIS                          DFN8/SHT                           U1321                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      SHT3x-DIS - Humidity and Temperature Sensor                 
2   SMA_SMT_AMPHENOL-901-143, SAMTEC SMA-J-P-H-RA-TH1 SMA_SMT_AMPHENOL-901-143           SMA_SMT_AMPHENOL_901-143           X2101, X2111                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RF/COAXIAL, SMA JACK, R/A, 50OHM, THD                       
1   SOLARPANEL_3V3_5MA1_25MM_X_20MM                   SOLARPANEL_3V3_5MA1_25MM_X_20MM    SOLARPANEL_3V3_5MA1_25MM_X_20MM    U1401                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Panasonic AM-5610CAR                                        
1   SPV1040T                                          SPV1040                            TSSOP8                             U1402                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      SPV1040                                                     
1   STM32L4Z_144PIN_SMPS                              STM32L4Z_144PIN_SMPS               LQFP144                            U0111                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      STM32L4XX LQFP packages with actual and functional symbols. 
1   SX1276                                            SX1276                             QFN28-6X6-0P65-PAD                 U0801                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      SEMTECH  SX1276                                             
1   Si5338                                            SI5338                             QFN24_P0MM5_CTRPAD                 U0701                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      SI5338                                                      
4   TS5A23166                                         TS5A23166                          R-PDSO-G8                          U1501, U1701, U1801, U1901                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 TS5A23166                                                   
1   TTE_EN11-HSM                                      TTE_EN11-HSM                       TTE_EN11-HSM                       X1261                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      TT-Electronics EN1-HSM Rotary Encoder with Switch           
1   TZY2Z100AC01R00                                   C-TRIMM3MM2_2MM5                   3MM2_X_2MM5                        C0531                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Trimm capacitor                                             
2   none                                              R-EU_R0603                         R0603                              R0711, R0712                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESISTOR, European symbol                                   
1   open                                              R-EU_R0603                         R0603                              R0611                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      RESISTOR, European symbol                                   
